timestamp,dataset_name,training_rmse,validation_rmse,test_rmse,execution_type
2025-09-28 13:54:26,airfoil,tensor(61.5682),tensor(61.3181),61.6630744934082,slim linear scaling
2025-09-28 13:57:07,airfoil,tensor(61.5682),tensor(61.3181),61.6630744934082,slim linear scaling
2025-09-28 14:01:27,airfoil,tensor(61.5682),tensor(61.3181),61.6630744934082,slim linear scaling
2025-09-28 14:02:23,airfoil,5.533651828765869,5.5098652839660645,5.423908710479736,slim linear scaling
2025-10-01 16:15:32,airfoil,5.549355983734131,5.5272369384765625,5.445015907287598,slim linear scaling
2025-10-01 16:17:22,airfoil,5.544635772705078,5.515149116516113,5.439810276031494,slim linear scaling
2025-10-01 16:35:45,airfoil,5.537210941314697,5.512054920196533,5.425657272338867,slim linear scaling
2025-10-02 10:59:40,airfoil,5.537789821624756,5.511296272277832,5.4336442947387695,slim linear scaling
2025-10-04 11:10:59,diabetes,55.2155647277832,50.45218276977539,58.90647506713867,slim linear scaling
2025-10-04 11:13:26,diabetes,55.6718635559082,54.639156341552734,60.789031982421875,slim linear scaling
2025-10-04 11:14:55,diabetes,55.920005798339844,56.59299087524414,60.949073791503906,slim linear scaling
2025-10-04 11:17:19,diabetes,55.6718635559082,54.639156341552734,60.789031982421875,slim linear scaling
2025-10-04 11:18:28,diabetes,54.219886779785156,55.74783706665039,61.04505920410156,slim linear scaling
2025-10-04 11:20:26,diabetes,54.9948844909668,58.42715835571289,61.30992126464844,slim linear scaling
2025-10-04 11:22:39,diabetes,55.139991760253906,60.29054260253906,59.64760971069336,slim linear scaling
2025-10-04 11:25:12,diabetes,55.139991760253906,60.29054260253906,59.64760971069336,slim linear scaling
2025-10-04 11:29:59,diabetes,55.139991760253906,60.29054260253906,59.647605895996094,slim linear scaling
2025-10-04 11:35:41,diabetes,55.139991760253906,60.29054260253906,59.64760971069336,slim linear scaling
2025-10-04 11:39:05,diabetes,54.9948844909668,58.42715835571289,61.30992126464844,slim linear scaling
2025-10-04 11:40:08,diabetes,54.99488830566406,58.42715835571289,61.30992126464844,slim linear scaling
2025-10-04 11:41:53,diabetes,54.9948844909668,58.42715835571289,61.30992126464844,slim linear scaling
2025-10-04 11:51:24,diabetes,54.99488830566406,58.42715835571289,61.30992126464844,slim linear scaling
2025-10-04 11:54:26,diabetes,54.9948844909668,58.42715835571289,61.30992126464844,slim linear scaling
2025-10-04 11:56:40,diabetes,54.219886779785156,55.74783706665039,61.04505920410156,slim linear scaling
2025-10-04 11:59:33,diabetes,tensor(160.0720),tensor(154.6830),156.1174774169922,slim linear scaling
2025-10-04 12:08:25,diabetes,tensor(160.0720),tensor(154.6830),156.1174774169922,slim linear scaling
2025-10-04 12:12:33,diabetes,tensor(160.0720),tensor(154.6830),156.1174774169922,slim linear scaling
2025-10-04 12:13:54,diabetes,tensor(160.0720),tensor(154.6830),156.1174774169922,slim linear scaling
